1	2	18
2	3	19
3	4	20
4	5	21
5	6	22
6	7	23
7	8	24
8	9	25
9	10	26
10	11	27
11	12	28
12	13	29
13	14	30
14	15	31
15	16	32
16	17	33
18	19	2
18	19	35
19	20	3
19	20	36
20	21	4
20	21	37
21	22	5
21	22	38
22	23	6
22	23	39
23	24	7
23	24	40
24	25	8
24	25	41
25	26	9
25	26	42
26	27	10
26	27	43
27	28	11
27	28	44
28	29	12
28	29	45
29	30	13
29	30	46
30	31	14
30	31	47
31	32	15
31	32	48
32	33	16
32	33	49
34	35	18
34	35	51
35	36	19
35	36	52
36	37	20
36	37	53
37	38	21
37	38	54
38	39	22
38	39	55
39	40	23
39	40	56
40	41	24
40	41	57
41	42	25
41	42	58
42	43	26
42	43	59
43	44	27
43	44	60
44	45	28
44	45	61
45	46	29
45	46	62
46	47	30
46	47	63
47	48	31
47	48	64
48	49	32
48	49	65
49	50	33
49	50	66
51	52	35
51	52	68
52	53	36
52	53	69
53	54	37
53	54	70
54	55	38
54	55	71
55	56	39
55	56	72
56	57	40
56	57	73
57	58	41
57	58	74
58	59	42
58	59	75
59	60	43
59	60	76
60	61	44
60	61	77
61	62	45
61	62	78
62	63	46
62	63	79
63	64	47
63	64	80
64	65	48
64	65	81
65	66	49
65	66	82
67	68	51
67	68	84
68	69	52
68	69	85
69	70	53
69	70	86
70	71	54
70	71	87
71	72	55
71	72	88
72	73	56
72	73	89
73	74	57
73	74	90
74	75	58
74	75	91
75	76	59
75	76	92
76	77	60
76	77	93
77	78	61
77	78	94
78	79	62
78	79	95
79	80	63
79	80	96
80	81	64
80	81	97
81	82	65
81	82	98
82	83	66
82	83	99
84	85	68
84	85	101
85	86	69
85	86	102
86	87	70
86	87	103
87	88	71
87	88	104
88	89	72
88	89	105
89	90	73
89	90	106
90	91	74
90	91	107
91	92	75
91	92	108
92	93	76
92	93	109
93	94	77
93	94	110
94	95	78
94	95	111
95	96	79
95	96	112
96	97	80
96	97	113
97	98	81
97	98	114
98	99	82
98	99	115
100	101	84
100	101	117
101	102	85
101	102	118
102	103	86
102	103	119
103	104	87
103	104	120
104	105	88
104	105	121
105	106	89
105	106	122
106	107	90
106	107	123
107	108	91
107	108	124
108	109	92
108	109	125
109	110	93
109	110	126
110	111	94
110	111	127
111	112	95
111	112	128
112	113	96
112	113	129
113	114	97
113	114	130
114	115	98
114	115	131
115	116	99
115	116	132
117	118	101
117	118	134
118	119	102
118	119	135
119	120	103
119	120	136
120	121	104
120	121	137
121	122	105
121	122	138
122	123	106
122	123	139
123	124	107
123	124	140
124	125	108
124	125	141
125	126	109
125	126	142
126	127	110
126	127	143
127	128	111
127	128	144
128	129	112
128	129	145
129	130	113
129	130	146
130	131	114
130	131	147
131	132	115
131	132	148
133	134	117
133	134	150
134	135	118
134	135	151
135	136	119
135	136	152
136	137	120
136	137	153
137	138	121
137	138	154
138	139	122
138	139	155
139	140	123
139	140	156
140	141	124
140	141	157
141	142	125
141	142	158
142	143	126
142	143	159
143	144	127
143	144	160
144	145	128
144	145	161
145	146	129
145	146	162
146	147	130
146	147	163
147	148	131
147	148	164
148	149	132
148	149	165
150	151	134
150	151	167
151	152	135
151	152	168
152	153	136
152	153	169
153	154	137
153	154	170
154	155	138
154	155	171
155	156	139
155	156	172
156	157	140
156	157	173
157	158	141
157	158	174
158	159	142
158	159	175
159	160	143
159	160	176
160	161	144
160	161	177
161	162	145
161	162	178
162	163	146
162	163	179
163	164	147
163	164	180
164	165	148
164	165	181
166	167	150
166	167	183
167	168	151
167	168	184
168	169	152
168	169	185
169	170	153
169	170	186
170	171	154
170	171	187
171	172	155
171	172	188
172	173	156
172	173	189
173	174	157
173	174	190
174	175	158
174	175	191
175	176	159
175	176	192
176	177	160
176	177	193
177	178	161
177	178	194
178	179	162
178	179	195
179	180	163
179	180	196
180	181	164
180	181	197
181	182	165
181	182	198
183	184	167
183	184	200
184	185	168
