1	2	6
2	3	7
3	4	8
4	5	9
6	7	2
6	7	11
7	8	3
7	8	12
8	9	4
8	9	13
10	11	6
10	11	15
11	12	7
11	12	16
12	13	8
12	13	17
13	14	9
13	14	18
15	16	11
15	16	20
16	17	12
16	17	21
17	18	13
17	18	22
19	20	15
19	20	24
20	21	16
20	21	25
21	22	17
21	22	26
22	23	18
22	23	27
24	25	20
24	25	29
25	26	21
25	26	30
26	27	22
26	27	31
28	29	24
28	29	33
29	30	25
29	30	34
30	31	26
30	31	35
31	32	27
31	32	36
33	34	29
33	34	38
34	35	30
34	35	39
35	36	31
35	36	40
37	38	33
37	38	42
38	39	34
38	39	43
39	40	35
39	40	44
40	41	36
40	41	45
42	43	38
42	43	47
43	44	39
43	44	48
44	45	40
44	45	49
46	47	42
47	48	43
48	49	44
49	50	45
